,__exception__,cocreateinstance,coinitializeex,coinitializesecurity,copyfilew,createactctxw,createdirectoryw,createprocessinternalw,createthread,cryptacquirecontextw,drawtextexw,findfirstfileexw,findresourcea,findresourceexa,findresourceexw,findresourcew,findwindoww,getcursorpos,getfileattributesexw,getfileattributesw,getfilesize,getfilesizeex,getfiletype,getforegroundwindow,getnativesysteminfo,getsystemdirectorya,getsystemdirectoryw,getsysteminfo,getsystemmetrics,getsystemtimeasfiletime,getsystemwindowsdirectoryw,gettemppathw,getvolumenameforvolumemountpointw,getvolumepathnamew,isdebuggerpresent,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,loadresource,loadstringa,loadstringw,lookupaccountsidw,lookupprivilegevaluew,messageboxtimeoutw,ntallocatevirtualmemory,ntclose,ntcreatefile,ntcreatemutant,ntcreatesection,ntdelayexecution,ntduplicateobject,ntenumeratevaluekey,ntfreevirtualmemory,ntgetcontextthread,ntmapviewofsection,ntopendirectoryobject,ntopenfile,ntopenkey,ntopenkeyex,ntopenmutant,ntopenprocess,ntopensection,ntprotectvirtualmemory,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntquerykey,ntquerysysteminformation,ntqueryvaluekey,ntreadfile,ntresumethread,ntsetcontextthread,ntterminateprocess,ntunmapviewofsection,ntwritefile,oleinitialize,prf,process32nextw,readprocessmemory,regclosekey,regcreatekeyexa,regcreatekeyexw,regenumkeyexw,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryinfokeyw,regqueryvalueexa,regqueryvalueexw,regsetvalueexw,searchpathw,seterrormode,setfilepointer,setunhandledexceptionfilter,sizeofresource,timegettime,writeconsolea,writeconsolew,writeprocessmemory
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997276059919766,0.023339104900384235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03983156198868394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011798519517805736,0.0,0.0,0.0,0.0,0.0063398561879528985,0.020268533606030047,0.023185737824451803,0.0,0.03622277485016951,0.0,0.0,0.0,0.0,0.0,0.0,0.018602489431175404,0.01942606838718417,0.0,0.011046394779159684,0.0,0.0,0.0,0.0,0.0,0.010196070276175587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022926231439112786,0.0,0.0,0.0,0.0,0.0,0.0,0.3823801197322624,0.0,0.0,0.0,0.0,0.0,0.028069577758372617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205955082644549,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381196383015904,0.0,0.0,0.0,0.0,0.0,0.0,0.06384764374740341,0.38782999830443793,0.0,0.0,0.0,0.8482062385814693,0.0,0.0,0.0,0.0,0.013828482095479594,0.024979012831520476,0.0,0.0,0.0,0.0,0.0,0.3176580341738554,0.0,0.0,0.0,0.0,0.0,0.016650647787284575,0.0,0.0,0.0,0.0,0.0,0.10908266433081672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01894788504972983,0.0,0.0,0.0,0.0,0.0910118055646626,0.0,0.0,0.05431657674750162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
