,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-27c0a52403d572f0ee5abc626a7f5cd834ed6a5b7eeebeadc848a5cc091eb5d1,3878.75,3572.5,3235.5,3002.75,3447.5,3651.0,3328.25,2842.25,3655.5,2709.0,3216.25,3597.5,3626.25,3239.5,4113.0,3550.25,3786.25,3802.5,1
Backdoor.Graybird-27d4f0a222bbb2285e395dcbed061a6eeb91a69d6c8cab8c98fd1ffb244c699a,4214.25,3082.5,3646.5,3288.5,2786.25,2681.75,3741.25,3148.25,3188.5,3137.0,2812.5,3402.5,2708.5,3706.25,3938.25,4560.5,3203.75,3673.75,1
Backdoor.Graybird-2821c9781c0351109c2a8b9633972e2c71f46371b648d2103c2741f560b60a1b,3769.25,3113.0,3481.25,3511.75,3082.5,3044.25,3598.5,2927.0,2866.5,3253.75,3681.75,4111.25,2783.75,3735.5,3778.5,3943.0,3252.75,4121.75,1
Backdoor.Graybird-2860ba35f778ed52b8487fe93a77c05a2d49222ba8f6cb81877c1779d13c1f4a,3589.5,2504.5,3621.25,3315.75,2704.5,2706.5,3706.5,3520.25,2871.5,3243.75,2787.25,3326.75,2707.5,3740.5,3938.25,4193.5,3129.0,3843.5,1
Backdoor.Graybird-2a1858cfa17d4f07292362a2719d61c97a487d29a5adf45d8e8b32f3252331a2,4053.5,3206.5,3260.75,3313.75,2740.75,3507.5,3606.5,2843.75,3967.5,3385.75,2772.5,3539.5,2843.75,3566.75,4112.5,4030.25,3264.75,3843.0,1
Backdoor.Graybird-2a7c74a91f4b6f4ed632d97fc3ee8835a7a615cb15dbf6ecbb96526d06f64db6,4608.75,3856.5,3260.25,3263.75,2478.25,2940.25,3731.25,3285.0,3859.25,4491.5,3158.25,3509.5,2426.25,3551.75,3869.25,3956.5,3197.0,3632.25,1
Backdoor.Graybird-2b470ddd183ec9f15d7cef2e1f2daf7243e1deef16fb6e74cb75b67c5d25df18,3904.5,3145.75,3159.25,3206.75,2850.75,3071.5,3705.0,3219.0,3691.5,3095.25,2662.5,3271.5,3253.75,3238.5,4247.25,3855.25,3241.5,3843.0,1
Backdoor.Graybird-2ca870cb512099a0df67fefee9eb2bf8fd53cc078919852144d6cbff26456347,3773.25,3751.25,3319.25,3288.5,2678.25,3041.75,3835.5,3148.25,3213.25,4146.25,2918.5,3819.5,2706.5,3706.25,3775.25,4424.5,3203.75,3641.0,1
Backdoor.Graybird-2ec9be730d82cf10af338e7f25781006744b9dda9c9ff484acfd2de501b05e24,4366.75,2989.75,3134.5,3125.0,2714.5,2940.25,3847.25,3353.0,2945.25,2839.25,2634.25,3054.75,3221.0,3605.0,4281.5,3866.25,3169.75,4087.0,1
Backdoor.Graybird-31e4807b0f375d8f919a3037f2764686a46d2e41bd957f8edd8f771621a3e53f,4509.5,3120.5,3220.25,3235.0,2578.25,2631.75,3514.5,3545.5,3053.25,2839.25,2711.5,3054.75,3253.75,3605.0,4354.75,3866.25,3169.75,3808.75,1
Backdoor.Graybird-32cbc565918830a83537aef008c3587ea24d2172c7ed3563ac2f4a7506a7a00d,4676.25,3191.75,3621.25,3235.0,2653.0,2631.75,3814.5,3545.5,2843.25,3243.75,2813.5,3398.5,2811.0,3741.0,4220.75,4193.5,3056.75,3499.75,1
Backdoor.Graybird-33e8337aad51e26cebf92f17cdc0c3ffa5ed55c74de4e7cd5b92db2d75e15339,4276.5,2579.25,3260.25,3365.75,2686.25,3040.25,3841.25,3285.0,3643.25,4627.0,2982.75,3250.5,2579.25,3441.75,3869.25,3846.5,3091.0,3598.5,1
Backdoor.Graybird-340c5cae28749592b0ea9453bd4f7d109b2fe2c8a03041e5da9961a7339eaa34,3795.5,3187.5,3303.5,3235.0,2661.0,2607.5,3847.25,2869.0,2945.25,3139.75,2813.5,3508.5,3137.75,3605.0,4147.5,3866.25,3135.5,4221.5,1
Backdoor.Graybird-3472255f40fa8003a08d8c641d9d2c5d0f749bf4c0420fc9a22040103a97c35b,4256.75,3503.5,3195.5,3235.0,2825.5,2607.0,3807.5,3251.75,3145.25,2631.25,2923.0,3523.5,3843.0,3272.25,3949.5,3412.5,3497.0,3759.75,1
Backdoor.Graybird-3473cb362c74478f5f8d200d068fbf1806d2dca138264e942574fb7abd324b42,3824.25,2964.5,3752.5,3235.0,2786.25,2964.5,3387.25,3486.5,3107.25,3243.75,2813.5,3852.25,2681.75,3740.5,3875.25,4424.5,3237.5,3641.0,1
Backdoor.Graybird-349a9ef306724d4e0a569074528204ac93186fc10679de7c0fd4117b7e674adf,4179.5,3056.25,3303.5,3209.75,2769.0,2711.5,3705.0,3247.0,2945.25,2837.75,3100.75,3432.75,3253.75,3605.0,4011.5,4182.5,3137.5,3877.75,1
Backdoor.Graybird-34cb2e3660a417e83f902c990f20b3d0efa6e84ad20a7c769f2944cc333bc47b,3743.5,3224.5,3621.25,3235.0,2653.0,2631.75,3487.25,3201.75,2949.25,3243.75,2813.5,3372.25,2783.75,3775.25,4147.5,4233.25,3056.75,3843.5,1
Backdoor.Graybird-3512ae0eba2c3f6e4e6195c0e1bd70b9a9e3b3d7708f403ed4b5e281e4a1a120,4542.75,3625.75,3352.5,3585.0,3203.5,3037.75,3880.0,3305.0,3098.75,2837.75,3100.75,3328.75,3219.5,3672.5,3802.25,4182.5,3181.0,4020.5,1
Backdoor.Graybird-35808e06d5ab73341611da612e9a37252f07f2bc7801725569ebb49895f59a05,4610.75,3599.0,3260.25,3261.75,2678.25,3015.5,3699.5,2946.75,3474.5,4627.5,3058.5,3454.5,2604.5,3525.5,3769.25,3983.75,3172.75,3632.25,1
Backdoor.Graybird-365bea068bcb7c92f0dbf6868e8e6ac2d49feaae2d6464a4fbf9d4dc28ea4189,4214.25,2814.0,3605.5,3693.75,2661.0,2709.0,3741.25,3462.25,2949.25,3137.0,2816.5,3508.5,2812.5,3672.0,3810.0,4063.0,3319.25,4087.5,1
Backdoor.Graybird-3796ba03a70668fe9a40cd399da7963d6dded9136682059f1443d5b493d37a83,4222.5,2659.5,3959.5,3479.0,3141.0,2709.0,3706.5,3571.5,2841.25,2921.0,3208.75,3852.25,2889.75,3672.0,3834.25,4426.5,3587.5,3416.5,1
Backdoor.Graybird-3799f857d04896d9155038342c96e32490cab5ce67ddf33dab263184d95ea41b,4239.5,3309.5,3303.5,3125.0,2714.5,2607.5,3847.25,3113.0,2945.25,2839.25,3125.5,3290.5,3247.75,3605.0,4011.5,4193.5,3135.5,3877.75,1
Backdoor.Graybird-3920bdcebc14233421ec142268749c0cc1358bba2af6e2e561ce3ac346db2d8e,3905.5,3207.5,3195.5,3235.0,2714.5,2607.5,3813.0,3685.75,2945.25,2839.25,2609.5,3054.75,3221.0,3605.0,4281.5,3866.25,3169.75,4052.75,1
Backdoor.Graybird-3a81fabef97e62aaefc48fa799a00c00d531afda4d49a58e90161dfef215d056,4676.25,3708.25,3269.25,3002.75,3422.75,3515.0,3672.25,2842.25,3621.25,3033.75,3554.5,3699.75,3386.5,3522.75,4011.25,3609.25,3315.75,3802.5,1
Backdoor.Graybird-3ac9b0f65d3a26c5fe28cad9856d7119d2088f7cab78c37aa12348ea3b3bc000,3696.5,2504.5,3377.25,3232.5,2714.5,2708.5,3849.25,3462.75,2843.25,3271.0,2812.5,3402.5,2784.25,3672.0,3938.25,4526.25,3205.75,4087.5,1
Backdoor.Graybird-3b6230033969a93587fc1d795bd800de9478b437d400bfaa3a1fd7ab0b082102,4122.75,3504.25,3134.5,3235.0,2825.5,2738.75,3705.0,3087.75,3587.5,2735.25,3100.75,3298.75,3497.75,3571.25,4281.5,3827.0,3239.5,3877.75,1
Backdoor.Graybird-3bd529df6d6af1c83eca9ff3fd494825f98908773b73ab6023b2d08e30fc9141,4149.5,3199.25,3294.0,3209.75,2578.25,2631.75,3847.25,3201.75,2949.25,3243.75,2813.5,3508.5,2783.75,3741.0,4147.5,4526.25,3056.75,3808.75,1
