,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-16274674297d97fdb7c53027a4e6facd681428961e31bc85dfff497056b071a4,1.2212064,-0.006263667,0.22149491,-0.078186855,-0.6022568,0.6916333,0.34924105,0.8139087,0.9594423,-0.75588906,1.3085005,-0.15480319,-0.8075197,0.38214216,0.643726,-0.59030825,-0.46705914,0.4422552,1.0
Backdoor.Graybird-16648fd7040db9b96d76e5f70711e8c62721035832f7b87594d62b0dd9b865ea,0.48328102,-0.13773662,-0.3877165,-0.7243014,0.33687454,0.32867572,0.23400623,0.38862327,0.2465553,-0.048154462,0.6916297,-0.5894205,-0.77625084,-0.45018104,0.07735909,-0.8663133,-0.1438785,0.38101193,1.0
Backdoor.Graybird-16ce6a8444870c762676cc776860c1ff7daa2a2dc76abd29136a36d6538bba8a,0.51010835,-0.25018707,0.082772054,-1.0500768,-0.65217537,0.6099282,0.049342476,0.918877,0.029322911,0.080020025,0.7441427,-0.49970886,-0.32160768,0.05034551,0.011235273,-1.0826886,-0.17171967,1.1180404,1.0
Backdoor.Graybird-16dc33ad95a90a03f9489182cf6061392a79cbaf96cceb87bd3c6c664daff4a3,0.5248756,0.525213,0.16993903,-0.35780072,-0.23571348,0.233608,0.56220174,-0.074848175,0.4285126,-0.0923836,0.22771144,0.49515945,-0.042140316,0.34130186,-0.13108945,0.19158484,0.04172654,0.34106722,1.0
Backdoor.Graybird-16dc7da8aef050616f3d99fd34b3f0410ce6a38f5a61c9ebc8e86e87195c4be3,0.4842706,-0.0525843,-0.3536744,-0.72052234,0.06345758,0.46434873,0.28805876,0.4405566,0.26477122,0.1144069,0.2073468,-0.899159,-0.8013469,0.22797346,-0.054491315,-0.22999054,0.033287838,0.43090817,1.0
Backdoor.Graybird-1966b6b19ef74c24f458b6477ccb7e8c8427df6d65ea4dc5e0bffb811fbba2d7,1.3643163,0.6043586,0.81000966,-0.6711398,0.508573,0.3343811,1.1563122,-0.34023437,1.0438684,0.019043563,-0.19584611,-0.69651467,-0.22239394,-0.04805584,-0.039097685,-0.8285778,0.000152088,0.83690363,1.0
Backdoor.Graybird-1c7dfb9affef8bef118a41d36e3e8c413f3076918a8821efeb3721af52ee5c52,0.35613677,0.19853903,0.37253258,-0.54332256,-0.03864497,0.1492505,0.7755437,-0.14393477,0.2742313,-0.23531312,0.6567842,-0.6710983,-0.81744033,-0.303549,0.13802224,-0.72709376,0.19492735,1.2255275,1.0
Backdoor.Graybird-1cb523870e23e55d0d36af5a2e10472ac25390d3838c52c35b1106034132aad5,0.5031336,-0.17332762,-0.00042871194,-0.562629,0.396832,0.54372346,0.44252035,0.5411379,0.3460244,-0.45274612,0.31318307,-0.6894882,-0.7919724,0.17883638,0.14690077,-0.5153634,0.25933567,0.59749967,1.0
Backdoor.Graybird-1d17564930dc9cfdb8bf4483ba9763d17dd3f549facfdbe21ad18447663adedd,1.4255879,-0.40134373,-1.2101507,-0.90643096,0.30784062,0.8893944,0.17143187,0.24907044,0.98618895,-0.004974671,0.92390937,-0.3824633,-1.3043841,-0.9087224,0.22644678,-0.6374496,0.005046628,-0.13933566,1.0
Backdoor.Graybird-1d2b95795f54a30db2241b441843c8baa1319704e0bd48f022ac919e71899787,0.41587728,-0.18343121,0.23479263,-0.47543693,0.11360594,0.279468,1.5555143,1.0103024,0.5602139,-0.28378028,0.28154033,-0.08600185,-0.108396485,-0.284252,0.6321183,-0.9377479,-0.263721,0.8349518,1.0
Backdoor.Graybird-1f987748aa836fcff784691f0f5195eaed0187c12906f016b7bbad1f9b10d20a,1.2265301,0.038496464,0.23330665,-0.30986583,-0.32662904,0.8733126,0.68385917,0.77017087,0.7644082,0.17533316,-0.014618216,-0.8009164,-0.7608649,-0.02774833,0.007131017,-0.5912216,-0.2595092,-0.19122367,1.0
Backdoor.Graybird-1fe3c46136004caa9f4598dbd12db50b539bc0e44de422870a0150ccdf6c4297,1.6531476,-0.19022366,-1.2468747,-0.8953242,-0.073221914,0.80786765,0.30253714,0.25234127,1.2906665,-0.021802958,0.9603497,-0.5930707,-1.0730668,-1.2376813,0.25864038,-0.63563526,0.15540062,-0.10799192,1.0
Backdoor.Graybird-201267f2b8c394b866ce09e16997ce04701a0bdaa1f5651e81d1675af4a567a6,0.98650414,-0.1940881,0.23254086,-0.7929326,-0.07299323,1.026006,0.7293174,1.3677268,-0.057708465,-0.36354476,0.6137329,-0.8347086,-0.49984282,-0.5816223,0.15287434,-1.4214015,-0.13499914,0.92133605,1.0
Backdoor.Graybird-20459a8ebc99703a2171b85dc321c41ccb8fdd67b606ac75c890156db25d67e2,1.177888,0.17717665,0.89563084,-0.6231288,0.26747018,0.53551733,0.67805535,0.35541806,0.44235173,-0.037808076,-0.8204235,0.43065438,-0.27887508,-0.19629334,-0.31747335,-1.2986966,-0.21301043,0.69813097,1.0
Backdoor.Graybird-21f994f2239ccaaddf25e98859f58e609dbc589127160c943dd884506d0f1e95,1.1787378,-0.7682661,0.2607571,-0.39000994,-0.44379854,0.7624894,0.5694187,0.56763095,0.3518168,-0.5169391,0.2992211,0.2227678,-0.5867192,-0.09081901,1.1721343,-1.2879764,-0.012895046,1.5292364,1.0
Backdoor.Graybird-22772293d3a3b20b3610ae1c06ab72da41745c57356905855180b45c5d43ae96,0.7785091,-0.57219446,-0.6378883,-0.86780334,0.0354372,0.21729146,0.6172809,0.7079523,0.8710399,-0.39460775,0.25583416,-0.5403948,-1.0309421,0.21884404,0.3289119,-0.26674137,0.46493688,1.0642562,1.0
Backdoor.Graybird-22c98fc9dac84f509083a90a332517ead8eb265fc53ddb1d16e5cfd0dab0ebe1,0.84085786,-0.11442245,0.1980489,-0.54547846,-0.15763,0.82359827,0.16746148,0.7790838,0.038034163,-0.6637323,0.2501531,-0.35342157,-0.16205646,-0.3045009,0.7671589,-0.7108311,0.10605613,1.2430037,1.0
Backdoor.Graybird-23259ea20d4f481cdc1bf58894f6280ddbe3fc56d7bfbaaf11bafdf4840f8c2c,0.07945217,0.31297165,-0.43801385,-0.69775563,0.24461332,-0.21791472,0.46459627,0.456671,-0.18041596,-0.42567396,-0.049049083,0.75583583,-0.52152956,-0.37433544,0.14953871,-0.5860693,-0.30636752,0.36284623,1.0
Backdoor.Graybird-2486e00f3531d89506d2a87525b723d2508b4b8c0040824956aeca41b97d17d7,0.4131581,0.039935958,0.70879346,-1.2338905,0.2298787,-0.05216818,0.59899354,0.8668038,0.31146395,-0.82475704,0.7282122,0.10628816,-0.57055026,-0.114896566,0.9278892,-0.6882443,-0.41005656,1.3379368,1.0
Backdoor.Graybird-2565563f99f161ad465a603000f5a2440b83b12413930bac01d20c6d3924f79e,0.9171004,-0.10870109,0.4281288,-1.1269176,0.24943325,0.1627002,0.99925876,0.13682501,0.22080941,0.21380603,-0.42284727,-0.13865185,-0.14841883,-0.73209435,0.0008103947,-0.8601865,0.09643337,0.86903846,1.0
Backdoor.Graybird-272ea0be5ed16c1b6a1d0149a85107e382cf7dab94eb40fb49ec17acd3c00b0b,0.36707473,-0.20253366,0.53512585,-0.94819003,0.21004698,0.45181698,0.73142815,-0.15363726,0.36716357,-0.33902764,0.46141487,-0.40808403,-0.08870691,-0.3678123,0.8786867,-0.4439219,-0.59160274,2.0073612,1.0
Backdoor.Graybird-27c0a52403d572f0ee5abc626a7f5cd834ed6a5b7eeebeadc848a5cc091eb5d1,0.98754555,0.8290763,0.4486568,-0.44894588,-0.88252723,0.098218106,0.12637733,-0.47588393,0.9240035,-0.03191553,-0.46597847,-0.22997528,0.2829507,-0.57383156,0.44471654,0.30893514,0.022501042,0.8316953,1.0
Backdoor.Graybird-27d4f0a222bbb2285e395dcbed061a6eeb91a69d6c8cab8c98fd1ffb244c699a,0.9007651,-0.3659068,0.0137671195,-0.8176785,-0.39785424,0.06919456,1.0618519,-0.71591324,0.45803636,-0.032275137,-0.037807018,-0.18713345,-0.18999714,-0.10096271,1.1185763,-0.20163392,-0.19022101,1.3898201,1.0
Backdoor.Graybird-2821c9781c0351109c2a8b9633972e2c71f46371b648d2103c2741f560b60a1b,0.43008116,-0.11628109,0.25161764,-1.2601444,-0.9053463,0.8081457,0.11788758,1.2667701,-0.12038976,-0.3090045,1.2710663,-0.66308045,-0.38184372,-0.04169956,0.15139675,-0.76285374,0.2018808,1.1851187,1.0
Backdoor.Graybird-2860ba35f778ed52b8487fe93a77c05a2d49222ba8f6cb81877c1779d13c1f4a,1.0601996,-0.062805906,0.74663275,-0.9017862,-0.26066005,0.2452013,0.67912906,0.02296112,0.3201482,-0.3530741,0.2981091,-0.28876162,-0.4942015,-0.109561734,0.722284,-0.762624,-0.28861183,0.9548122,1.0
Backdoor.Graybird-2a1858cfa17d4f07292362a2719d61c97a487d29a5adf45d8e8b32f3252331a2,0.5052022,0.877131,-0.094327025,-1.6308784,-0.7259736,0.2464836,0.18855333,0.038487673,0.44465816,0.14007014,0.14956947,-1.3101422,0.2544411,-0.05567568,0.30604675,-0.519466,-0.5549028,0.43225664,1.0
Backdoor.Graybird-2a7c74a91f4b6f4ed632d97fc3ee8835a7a615cb15dbf6ecbb96526d06f64db6,0.56572807,0.5268378,0.25101957,-0.35677725,0.11248899,0.23068997,1.0810745,-0.50634754,1.0362644,-0.43322638,-0.40174377,0.42011115,0.1884239,0.26343793,-0.3514631,-0.14756545,-0.16377887,0.7165994,1.0
Backdoor.Graybird-2b470ddd183ec9f15d7cef2e1f2daf7243e1deef16fb6e74cb75b67c5d25df18,0.7831302,0.2856042,0.18918455,-0.9179174,-0.66091835,0.36922637,0.77742183,-0.053294063,0.7181272,0.0056227003,-0.11280786,-0.66716474,-0.29809463,0.5729426,0.027126,0.1850783,0.12382678,0.1964279,1.0
Backdoor.Graybird-2ca870cb512099a0df67fefee9eb2bf8fd53cc078919852144d6cbff26456347,0.8361335,0.23734798,-0.1543471,-0.84931237,-0.16673858,-0.13514005,1.1630584,-0.5541118,0.7630188,-0.058398005,0.4769151,-0.9021792,0.3593826,-0.46108353,1.4710666,0.18723035,-0.031856433,1.7991298,1.0
Backdoor.Graybird-2ec9be730d82cf10af338e7f25781006744b9dda9c9ff484acfd2de501b05e24,1.4932376,-0.05709535,-0.35589734,-0.36422217,-1.3763678,0.54974777,1.1449691,0.49410003,0.9625036,-0.51257926,0.51482993,-0.5461901,-0.1359213,0.5722546,-0.10295868,0.54382324,0.24975488,0.556311,1.0
Backdoor.Graybird-31e4807b0f375d8f919a3037f2764686a46d2e41bd957f8edd8f771621a3e53f,0.94373643,-0.25126147,-0.16661373,-0.39196497,-1.4280545,0.574355,0.67883915,0.6158179,0.7191881,-0.6627936,0.2840448,-0.38990015,-0.44856235,0.6196181,0.466822,0.13807058,-0.35693395,0.7325473,1.0
Backdoor.Graybird-32cbc565918830a83537aef008c3587ea24d2172c7ed3563ac2f4a7506a7a00d,0.99556214,-0.03436065,0.5187565,-0.9042901,-0.8640829,0.2971349,0.91780394,0.9017473,0.99758214,-0.36826518,0.49911445,-0.18122281,-0.3077607,0.025007665,0.62834674,0.05857749,-0.42674667,0.85260445,1.0
Backdoor.Graybird-33e8337aad51e26cebf92f17cdc0c3ffa5ed55c74de4e7cd5b92db2d75e15339,0.40336898,0.4289024,-0.07165285,-0.25580844,0.244699,0.30441612,0.74142355,-0.23460867,0.6987266,-0.15478842,-0.21845044,0.21951234,-0.022248918,0.40754557,-0.13981456,0.13383749,-0.0072010085,0.49292096,1.0
Backdoor.Graybird-340c5cae28749592b0ea9453bd4f7d109b2fe2c8a03041e5da9961a7339eaa34,1.659916,-0.25234962,0.20762868,-0.83836365,-1.2629238,0.6373965,0.47149915,0.8728603,1.1241856,-0.5411572,0.43583384,0.19598277,-0.039463688,1.1427064,0.26963228,-0.12845105,-0.14110309,0.61097693,1.0
Backdoor.Graybird-3472255f40fa8003a08d8c641d9d2c5d0f749bf4c0420fc9a22040103a97c35b,0.5162302,0.7464713,0.37913138,-0.32488364,-0.47189498,0.28572366,0.45863146,0.24478863,0.42782786,-0.0059793266,0.13108645,0.41720384,-0.29446626,0.52889204,-0.19298781,0.3550387,0.43718198,0.40804824,1.0
Backdoor.Graybird-3473cb362c74478f5f8d200d068fbf1806d2dca138264e942574fb7abd324b42,0.2792008,0.18218663,0.7279252,-0.9826963,-0.7529501,0.3278805,0.63294816,0.83579975,0.52436626,-0.53115845,0.8434791,-0.15740754,-0.114554,0.03623229,0.8390867,-0.20757769,-0.4787727,1.0009897,1.0
Backdoor.Graybird-349a9ef306724d4e0a569074528204ac93186fc10679de7c0fd4117b7e674adf,0.83034015,0.37050912,0.026485305,-0.4932115,-0.9670611,0.8929658,0.38188866,0.53932625,0.86717653,-0.37165397,0.61656475,-1.3815621,-0.8435131,0.71515775,-0.06748729,0.024066614,-0.56802404,0.12813313,1.0
