,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,LABEL
Backdoor.Graybird-143c25c7cc08038a40638df3cd01232232baed4a9469f356efc615b5041c794a,1.4656898,1.0605448,0.7442085,0.030114157,-0.16472161,-0.91803557,0.013829056,0.7215914,0.40040264,0.11056975,-0.7323511,-0.42470634,0.11296263,0.6932212,0.36307433,-1.1124943,0.66497904,0.49039105,0.24276182,-0.08269014,-1.2734354,0.24193016,-0.719613,0.074470334,1.0
Backdoor.Graybird-14818f4633cc87ac1b11b53895daa6cbc595065596c7ea86f807fb1a1ad79b72,0.49702716,0.08089628,1.6544999,0.26337942,-0.3997021,-0.5354469,-0.17328985,0.8671676,1.2448591,0.16872205,0.81660926,-0.06417803,-1.222001,0.38321495,-0.58113205,-0.33673298,0.8580567,-0.3161276,0.33281738,-0.7238625,-1.349934,0.3948237,0.21700007,-0.4556038,1.0
Backdoor.Graybird-152a87566246d7b100a299d29e34ce080c52e714e0c2883b904d85c1144de18d,0.3277408,-0.30555663,0.9492261,-0.59624547,-0.549012,-0.086138025,0.11123853,0.3283244,0.69583523,0.108800784,0.80445343,-0.725401,-1.0063336,0.75206375,-0.15628925,-0.4213548,1.401368,0.13605264,-0.1381036,-0.32244235,-1.1471806,0.55236584,-0.008573074,0.2048457,1.0
Backdoor.Graybird-16274674297d97fdb7c53027a4e6facd681428961e31bc85dfff497056b071a4,0.98164445,0.98034847,0.7809545,-0.9219402,0.307929,-0.7683786,-0.44003734,0.60645986,0.015266733,0.21959317,-0.8687502,-0.78206116,0.3779312,0.67369753,-0.2564082,-0.97613925,0.98022,0.09549153,-0.26298994,-1.3528094,-0.900493,0.529863,-0.12156808,0.09344451,1.0
Backdoor.Graybird-16648fd7040db9b96d76e5f70711e8c62721035832f7b87594d62b0dd9b865ea,0.31452808,0.7286876,1.1702925,-0.4417892,0.29746738,-0.62254405,0.40470552,1.3580917,0.5438904,-0.17475007,0.21210001,-0.79509044,-0.7523087,0.7028067,-1.175534,-0.3984509,1.7548779,-0.3783962,0.37600002,0.40227795,-0.5737129,0.57409877,-0.30713472,-0.047781777,1.0
Backdoor.Graybird-16ce6a8444870c762676cc776860c1ff7daa2a2dc76abd29136a36d6538bba8a,0.70169336,0.7230841,0.99996966,-0.1270552,-0.8063889,0.12290371,-0.0407508,-0.78360224,-0.6127337,-0.48311365,-0.08785253,-0.94920236,-0.7899695,0.07141063,-0.3074014,-0.5989536,0.900935,0.6447668,0.55083984,-0.9683241,-0.38954747,0.25287798,-0.20424846,0.37708917,1.0
Backdoor.Graybird-16dc33ad95a90a03f9489182cf6061392a79cbaf96cceb87bd3c6c664daff4a3,-0.4422053,0.3672119,1.5099937,0.4026374,-0.5650141,0.015106059,-0.37583527,0.2756116,-0.1641982,-0.13987081,-0.29400742,-1.3497518,-0.122205585,0.6089703,-0.37631333,-1.2617223,0.75851655,0.49026862,-0.01088192,0.11933591,-0.62169445,-0.116773784,0.5869645,0.13972907,1.0
Backdoor.Graybird-16dc7da8aef050616f3d99fd34b3f0410ce6a38f5a61c9ebc8e86e87195c4be3,0.09003063,0.78951824,1.4189723,-0.89584893,-0.33086267,0.34411007,0.18467236,0.17007928,-0.27391508,-0.1771272,0.60101575,-0.68024504,-0.4834298,0.36953247,-0.62274826,-1.054742,1.429256,-0.5982007,0.3295378,0.39386362,-0.5685756,-0.24622278,0.53955305,0.28950498,1.0
Backdoor.Graybird-1966b6b19ef74c24f458b6477ccb7e8c8427df6d65ea4dc5e0bffb811fbba2d7,-0.16795878,0.8432942,0.76456606,0.13960578,-0.6784592,0.09982177,0.42150036,1.2323179,0.3811495,-0.05731073,-0.8527489,-1.6833274,-0.701207,0.3695063,-0.7473339,-1.2435688,0.84874475,0.023391513,0.31022814,0.27151802,0.09914429,1.1755598,-0.04377463,-0.012995929,1.0
Backdoor.Graybird-1c7dfb9affef8bef118a41d36e3e8c413f3076918a8821efeb3721af52ee5c52,0.02541487,0.5822187,1.6101584,0.08007469,0.41680357,-0.115048446,0.3383796,0.7145424,-0.113372706,-0.46035215,-0.3295362,-0.6429021,-0.62642294,0.48595497,-0.6358331,-0.12333606,0.20031412,0.09926811,-0.23510242,-0.08693994,-1.4341336,0.40521148,-0.5702235,-0.7387424,1.0
Backdoor.Graybird-1cb523870e23e55d0d36af5a2e10472ac25390d3838c52c35b1106034132aad5,-0.24516863,1.2374363,1.2817761,-0.499831,-0.8778187,0.24850099,-0.021837162,0.6988297,-0.520588,-0.06406673,0.01997745,-0.095617115,-0.5671446,0.9332544,-1.0454711,-0.14266793,1.7816626,-0.10183944,0.24662983,0.22072555,-0.7088538,0.017024526,0.6867876,-0.266914,1.0
Backdoor.Graybird-1d17564930dc9cfdb8bf4483ba9763d17dd3f549facfdbe21ad18447663adedd,0.06022073,0.92044497,0.94192636,-1.2806407,-0.3891633,0.43766195,1.0857197,0.7161193,-0.58663136,-0.20023933,-0.020772051,-1.0425557,-0.11759974,0.8406861,-0.35509384,-1.0901304,1.1292981,-0.97399145,-0.38431028,-0.3679181,-1.4037962,-0.14696507,-0.18931505,0.14207369,1.0
Backdoor.Graybird-1d2b95795f54a30db2241b441843c8baa1319704e0bd48f022ac919e71899787,-0.59136534,0.56883085,1.4981651,-0.28300753,-0.46714783,-1.0143429,-0.19011904,0.51926136,-0.85656166,-0.49835896,-0.93548894,-0.924779,-0.34242433,0.65733665,-0.86946934,-0.23537374,0.12303408,-0.23595412,-0.15229248,-0.9709348,-1.0584697,-0.035100807,0.60649556,-0.8062269,1.0
Backdoor.Graybird-1f987748aa836fcff784691f0f5195eaed0187c12906f016b7bbad1f9b10d20a,0.7261312,-0.06862159,1.2697673,-0.35113826,-0.24804986,-0.86494535,0.039756134,0.67720556,0.5729614,-0.31731623,0.051454887,-0.056129597,-0.69657725,1.0887803,-0.7657752,-0.36703438,1.0135733,0.19156109,-0.5022507,-0.37312812,-1.3480492,0.40797377,1.0579545,-0.21753336,1.0
Backdoor.Graybird-1fe3c46136004caa9f4598dbd12db50b539bc0e44de422870a0150ccdf6c4297,0.26232246,0.4796092,0.8039808,-1.1935235,0.017472606,0.8579334,0.6051313,1.517216,-0.4402985,0.40962252,0.2672204,-0.7996771,-0.42706484,0.702014,-0.2909504,-1.2629454,0.8499653,-1.0194508,0.07706324,-0.5494483,-1.2511796,0.08915384,-0.3767081,0.329868,1.0
Backdoor.Graybird-201267f2b8c394b866ce09e16997ce04701a0bdaa1f5651e81d1675af4a567a6,0.2878991,1.2092582,1.2338101,-0.3681234,-0.8396167,-0.17338783,-0.19755264,0.31166658,-0.325742,-0.8478212,-0.06886118,-0.07446628,-0.233329,0.7394628,-0.11061248,-1.416705,1.5202167,1.4619653,-0.09018744,-0.6404215,-0.52859896,-0.33930776,-0.11731352,0.5212379,1.0
Backdoor.Graybird-20459a8ebc99703a2171b85dc321c41ccb8fdd67b606ac75c890156db25d67e2,0.17079407,0.68577534,1.4073708,-0.001618213,-0.489036,0.08545739,0.38941854,0.86731124,-0.1167194,-0.17562643,-0.57046163,-1.3281991,-0.933792,0.33098128,-0.5672576,-1.1491883,0.5541177,-0.046447672,0.7462073,0.24398136,-0.7200695,-0.08211195,0.94880366,0.04982243,1.0
Backdoor.Graybird-21f994f2239ccaaddf25e98859f58e609dbc589127160c943dd884506d0f1e95,0.6231213,1.0500803,1.1959113,-0.118963666,0.23502168,-0.39357874,0.12459321,0.87220895,0.41026577,-0.31923026,-0.6776816,-0.6338042,-0.5018005,0.9328657,-0.68805075,-0.8146702,0.07596936,0.5635065,-0.44436133,-0.2798033,-0.63949454,0.22503963,-0.29739144,0.18197393,1.0
Backdoor.Graybird-22772293d3a3b20b3610ae1c06ab72da41745c57356905855180b45c5d43ae96,0.53798914,0.64147663,1.706808,-0.30153248,-0.36048606,0.76428556,0.16084462,0.45771903,-0.7756389,0.77653503,-0.24261859,-0.66199356,-0.6781628,0.53136736,-0.8317288,-0.42111924,1.1542624,0.13827316,0.22314447,-0.057616945,-1.4619337,0.3371117,0.13389048,-0.31677836,1.0
Backdoor.Graybird-22c98fc9dac84f509083a90a332517ead8eb265fc53ddb1d16e5cfd0dab0ebe1,-0.43427506,1.1524749,1.0925127,-0.08917101,-0.7606984,-0.22526778,-0.106014684,0.59220403,0.055427182,-0.6669233,-0.49504352,-0.25360426,-0.9205247,0.2766505,-0.5982365,-0.8141541,0.822174,-0.09978122,0.25491655,-0.29513985,0.056098387,-0.17029737,-0.20589958,-0.09542611,1.0
Backdoor.Graybird-23259ea20d4f481cdc1bf58894f6280ddbe3fc56d7bfbaaf11bafdf4840f8c2c,-0.47459987,0.65923166,0.27706608,0.019827358,-0.49094132,0.31866732,0.5563267,-0.1685836,0.3771345,-0.116380066,-0.74896973,0.47534397,0.10320997,0.23562391,-1.0860337,-0.07717731,-0.505062,0.37559378,-0.109471194,-0.49225762,0.37299448,0.6693197,-0.058860287,0.7583972,1.0
Backdoor.Graybird-2486e00f3531d89506d2a87525b723d2508b4b8c0040824956aeca41b97d17d7,0.25418615,0.99349403,0.71277994,-0.3468793,-0.42097917,-0.19378954,-0.40193933,0.54411906,-0.51828635,-1.2577664,-0.2057384,-0.3371243,-1.2611305,0.53048724,-0.30135915,-0.39335537,-0.033759404,-0.13468745,0.4998497,-0.27704766,-0.6520326,0.25566995,0.3549462,-0.8620593,1.0
Backdoor.Graybird-2565563f99f161ad465a603000f5a2440b83b12413930bac01d20c6d3924f79e,-0.4741637,0.69827336,0.9895312,-0.33009633,-0.14151959,0.28076535,0.48286507,1.372266,0.031820595,-0.2050091,-1.0333116,-0.7499109,-0.5052872,0.06499812,-0.38182807,-0.63375825,0.532509,0.5314904,0.18886451,-0.17999545,-1.0237787,0.57155466,1.0299824,0.41022974,1.0
Backdoor.Graybird-272ea0be5ed16c1b6a1d0149a85107e382cf7dab94eb40fb49ec17acd3c00b0b,-0.11520303,0.7609365,1.5899197,0.19882697,-0.089010775,-0.43233562,0.5555901,1.3220385,-0.039036363,-0.7569588,0.09171362,-0.37709287,-0.7510218,0.4891276,0.07166817,0.63495404,-0.070152104,-0.23419054,0.6811871,-0.9219861,-1.1179676,0.14298356,-0.4841684,-0.5308044,1.0
Backdoor.Graybird-27c0a52403d572f0ee5abc626a7f5cd834ed6a5b7eeebeadc848a5cc091eb5d1,-0.28356785,0.6931495,0.87357813,-0.08228441,0.22982858,0.28479424,0.38551688,1.3680373,-0.11750996,-0.8466677,-1.2295146,-0.5252661,-0.2907992,-0.18926553,-0.45980322,-0.27471372,-0.097207196,0.3228641,0.114995666,-1.3648831,0.031193998,0.2822286,0.6635148,0.11926685,1.0
Backdoor.Graybird-27d4f0a222bbb2285e395dcbed061a6eeb91a69d6c8cab8c98fd1ffb244c699a,-0.1805925,1.6676811,1.4301242,-0.44997603,0.453137,0.51638603,-0.23332639,0.3267443,-0.8727459,-0.5495126,-0.44845527,-0.49827823,-0.56712216,-0.040371474,-0.31012702,-0.4551588,-0.29237854,-0.33361167,0.5348115,-0.92435896,-1.0601846,0.38956168,0.36004654,-0.18110508,1.0
Backdoor.Graybird-2821c9781c0351109c2a8b9633972e2c71f46371b648d2103c2741f560b60a1b,0.5433607,1.0909194,1.1721132,-0.5139312,-0.9045271,0.39586815,0.32341143,-0.36484334,-0.9128079,-0.2507638,-0.07037773,-0.5531646,-0.6970237,-0.019856991,-0.07261957,-0.6834709,1.2230076,0.3418336,-0.11124916,-1.4549122,-0.69617987,0.6071784,-0.5506879,0.3002888,1.0
Backdoor.Graybird-2860ba35f778ed52b8487fe93a77c05a2d49222ba8f6cb81877c1779d13c1f4a,-0.076558955,1.3213961,0.7851686,-0.44846404,-0.40282318,-0.10782342,0.027020656,0.97791874,-0.42702118,-0.12852338,-0.722919,-0.48508027,-0.42137808,-0.23868166,0.06445947,-0.5576699,0.120598406,-0.34652126,1.4183075,-0.449311,-0.91416043,0.09820087,0.27043775,0.88744026,1.0
Backdoor.Graybird-2a1858cfa17d4f07292362a2719d61c97a487d29a5adf45d8e8b32f3252331a2,-0.2561934,1.5214189,0.51339734,-1.5380927,-0.79918504,0.21911623,0.38435307,-0.049488973,0.4740791,-0.91114604,-0.39134258,-0.17033643,-0.45343205,0.37446314,0.061991096,-0.31676084,0.70057374,-0.12561582,0.0035186305,-0.32063153,-1.3348641,0.33597714,0.31553656,0.23776197,1.0
Backdoor.Graybird-2a7c74a91f4b6f4ed632d97fc3ee8835a7a615cb15dbf6ecbb96526d06f64db6,-1.8672947,0.5850468,0.43225664,-0.6204863,0.42349145,0.018640984,-0.22015424,-0.20553756,0.061689787,0.5496345,-0.3506509,-0.1894379,1.0951017,0.29143214,0.28226945,-0.23466067,0.21360919,-0.7728505,0.7473019,-1.0544227,-0.7065502,0.5150516,0.043953177,-0.4900332,1.0
Backdoor.Graybird-2b470ddd183ec9f15d7cef2e1f2daf7243e1deef16fb6e74cb75b67c5d25df18,-0.419991,1.5511295,0.8656771,-1.096749,0.10995798,-0.1270876,0.022935955,0.7085883,-0.058428224,0.04364996,-0.88605773,-0.30905035,0.06650235,-0.17936254,0.7165269,-0.075523354,0.9815601,0.004101322,0.9100272,-1.3718374,-0.17464706,0.56840444,-0.76633376,-0.16349518,1.0
Backdoor.Graybird-2ca870cb512099a0df67fefee9eb2bf8fd53cc078919852144d6cbff26456347,-0.64305305,1.288502,2.1808546,-0.35917342,-0.14809522,-0.24954359,0.20186444,0.7561118,0.1118389,-0.1118586,-0.5033193,-0.5895996,-0.32932925,0.6653565,-0.89053285,0.20215045,0.09333083,-1.1314877,0.1303771,-0.937571,-0.9054073,0.32728687,-0.63159895,-0.6873188,1.0
