,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,LABEL
Backdoor.Graybird-10672ba06f9cceb9fb651a6338f13de953b8a97d9d5164acd08456fb7a974b69,0.21761858,-0.048677914,-0.0024090612,0.316038,0.351478,-0.5131508,0.27542862,0.21715738,0.3927947,-0.19188586,0.23108412,0.32716367,0.48874882,0.21260625,0.77348816,0.61046046,0.1330675,-0.50909644,-0.2698515,-0.00870559,0.14115246,0.59773695,-0.3251838,-0.80114293,0.5764557,0.24546725,0.27621582,-0.096439235,-0.72892725,-0.30642867,0.6166556,0.027786596,-0.4531676,-0.27060777,-0.14856572,0.2413616,1.0
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,0.61280215,-0.5263312,-0.251122,0.4032625,-0.18206234,0.26689366,-0.01722007,0.08174791,-0.13032694,0.46705073,-0.25056666,0.22887203,0.02576716,0.1674039,1.041496,-0.17010659,0.046071377,-0.3705677,0.49582618,0.55042773,0.34109142,0.4147543,-0.06773911,0.030734893,0.89038014,0.07861731,0.27459392,0.56103987,-0.69451386,-0.20475747,0.641383,-0.3680202,-0.0023495143,-0.26690856,-0.199502,0.43796673,1.0
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,-0.16547969,-0.994026,0.22009899,0.2945732,0.47212684,0.079914235,-0.8430377,-0.1818118,-0.406038,-0.012173788,-0.30725765,0.624226,-0.22645245,0.45816594,0.040217992,-0.41502142,-0.47909668,-0.5783016,-0.25138742,0.7566092,0.37873238,0.33160666,-0.7701829,0.8524631,0.40029836,0.98884636,0.48034945,0.20308578,-0.8843722,0.23165038,0.53369945,-0.23149772,-0.28069106,-0.15747339,0.03114341,0.25404,1.0
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,0.096160896,-0.14582045,-0.3014112,0.42025608,0.48807535,-0.038619995,0.015065868,0.08978981,-0.33390784,0.34361935,0.1071092,0.29872978,-0.042147864,0.2930992,0.45629475,0.2916321,-0.54034233,-0.361504,0.46193746,0.5435165,0.5781706,0.8316444,-0.941214,0.26289025,0.31459543,0.17519556,-0.3416341,0.2753559,-0.8696946,-0.12000843,0.35253435,-0.23120227,0.14411284,0.2548559,-0.718957,0.690563,1.0
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,-0.23509595,-0.63952035,0.34402654,0.11469102,0.28757438,-0.09836145,-0.5270886,0.056392685,-0.8348993,-0.103754014,-0.42501947,0.2213687,-0.4039416,-0.232012,0.6303612,-0.3308662,-1.0842615,-0.6291019,-0.47616708,0.9291387,-0.36020255,0.377922,-0.5958065,0.6884408,0.7529501,0.5869557,-0.14332487,0.3233732,-1.0991138,-0.0427815,0.035259146,-0.118988514,-0.47207555,-0.031123374,0.06292158,0.048774317,1.0
Backdoor.Graybird-143c25c7cc08038a40638df3cd01232232baed4a9469f356efc615b5041c794a,-0.1495732,-0.13181691,0.18145135,-0.5459825,0.2460622,0.22436336,0.36950225,-0.6478007,-0.20756665,0.21478614,0.030588437,0.0020579137,0.14437185,0.22406933,0.2860912,0.2361466,-0.31615826,0.4668882,-0.30334568,0.11455716,-0.12454365,-0.07447023,-0.6216973,-0.34605613,-0.42601594,0.58356786,0.558269,-0.6949078,-1.0498834,-0.32162184,0.5722651,0.3303937,-0.1550866,-0.2596468,-0.36693949,0.20475645,1.0
Backdoor.Graybird-14818f4633cc87ac1b11b53895daa6cbc595065596c7ea86f807fb1a1ad79b72,0.51968753,-0.24107999,-0.24363732,0.08924167,-0.050981097,0.09680659,0.20021437,-0.5573276,-0.06181033,0.06225283,0.26325473,0.28577915,-0.20112023,0.20909783,0.17960425,0.08421965,-0.7109769,-0.23197715,-0.7009662,0.37940452,0.41027302,0.5194266,-0.058459703,0.050171293,0.17030957,0.24639356,0.10952837,0.26935992,-0.32554328,0.13169,-0.34251687,-0.28651136,0.21523131,0.2770599,0.27184716,0.7661825,1.0
Backdoor.Graybird-152a87566246d7b100a299d29e34ce080c52e714e0c2883b904d85c1144de18d,0.1330799,-0.15479448,-0.40982944,0.46408382,0.28594562,-0.1992532,0.01532323,0.5426282,-0.46844482,0.33874267,0.45046368,0.2490882,-0.250618,0.067955814,0.75731,0.10059084,-0.33626354,-0.95504904,-0.16655849,0.5231194,0.39267153,0.5653727,-0.7242139,0.15715551,0.079993784,-0.115797564,-0.17283493,0.31622514,-0.43793818,0.2886813,0.32701933,0.17814755,0.51610446,-0.1630867,0.3949264,0.5881196,1.0
Backdoor.Graybird-16274674297d97fdb7c53027a4e6facd681428961e31bc85dfff497056b071a4,-0.050113942,-0.61160797,0.36109206,-0.3003062,0.19835496,-0.046368483,0.16625343,-0.15769003,-0.5263011,0.37541148,0.42505077,0.39406377,0.15921026,0.18205889,0.130803,-0.025106048,-0.8588585,0.40890342,-0.14978346,0.40312302,0.0019654166,0.14128846,-0.5666071,0.40480217,-0.35974738,0.51586986,0.21584569,-0.44510707,-1.270769,-0.5504467,-0.3452867,0.27540806,-0.5730267,-0.08536219,-0.69312996,0.44235402,1.0
Backdoor.Graybird-16648fd7040db9b96d76e5f70711e8c62721035832f7b87594d62b0dd9b865ea,0.5705631,-0.0738236,0.072446994,0.6067826,-0.13269843,-0.016093804,-0.2585014,-0.37470248,-0.2809878,0.7265404,-0.16843143,0.24545771,-0.11072612,0.31767207,0.6142631,0.3925793,-0.26323205,-0.08946901,-0.60352653,0.93638545,0.06999783,0.6155319,-0.21069428,0.06698892,0.26306254,0.19281568,-0.22668922,0.06779615,-0.9690692,0.35008234,0.047810957,-0.036187973,-0.4305068,-0.005244307,-0.12397078,0.9754716,1.0
